"con","p","yv","quarter"
3804,34.880001068115234,4259,0
4174,34.88999938964844,4490,1
4270,34.70000076293945,4745,2
4936,36.2400016784668,5302,3
4228,36.060001373291016,4912,4
4520,35.97999954223633,4911,5
4716,35.91999816894531,5127,6
5369,37.40999984741211,5759,7
4563,37.25,5199,8
5056,37.34000015258789,5364,9
5080,37.040000915527344,5589,10
5780,38.040000915527344,6258,11
4840,38.470001220703125,5585,12
5350,38.400001525878906,5789,13
5387,37.970001220703125,6010,14
6102,39.279998779296875,6674,15
5247,39.279998779296875,6084,16
5708,39.130001068115234,6327,17
5774,38.95000076293945,6490,18
6621,40.20000076293945,7416,19
5637,40.09000015258789,6704,20
6356,40.34000015258789,7126,21
6464,40.45000076293945,7331,22
7305,41.72999954223633,8183,23
6224,41.7400016784668,7258,24
6837,42,7554,25
6878,41.7400016784668,7855,26
7567,42.970001220703125,8446,27
6484,42.720001220703125,7500,28
6949,42.66999816894531,7790,29
7017,42.41999816894531,7844,30
7813,43.349998474121094,8679,31
6680,43.45000076293945,7982,32
7407,43.279998779296875,8229,33
7484,43.040000915527344,8497,34
8503,44.15999984741211,9679,35
7376,44.130001068115234,8816,36
8112,44.11000061035156,9158,37
8259,43.939998626708984,9514,38
9343,45.04999923706055,10666,39
8173,45.540000915527344,9780,40
9004,45.58000183105469,10181,41
9204,45.47999954223633,10667,42
10504,46.810001373291016,12169,43
9186,47.849998474121094,10885,44
10061,47.83000183105469,11240,45
10177,47.7599983215332,11667,46
11474,49.33000183105469,13498,47
10361,50.630001068115234,12394,48
11007,50.400001525878906,12603,49
11222,50.31999969482422,12947,50
12606,52.220001220703125,14862,51
11409,53.5,13558,52
12279,53.849998474121094,13775,53
12165,53.43000030517578,14017,54
13706,56.0099983215332,16193,55
12193,57.16999816894531,14482,56
13151,57.72999954223633,14883,57
13265,57.38999938964844,15416,58
14755,59.9900016784668,17683,59
13221,60.939998626708984,16137,60
14370,61.13999938964844,16725,61
14500,61.0099983215332,16747,62
16254,63.150001525878906,19140,63
14673,64.11000061035156,17286,64
15528,63.81999969482422,17413,65
15546,63.459999084472656,17858,66
17440,65.29000091552734,20323,67
15779,66.23999786376953,18471,68
16750,65.91999816894531,18611,69
16859,65.62999725341797,18849,70
18825,67.30000305175781,21751,71
16867,67.83999633789062,19600,72
17787,67.61000061035156,19668,73
17957,67.48999786376953,20192,74
19983,69.12999725341797,23113,75
17927,69.97000122070312,21080,76
19366,69.94999694824219,21552,77
19143,70.41999816894531,21657,78
21695,72.9800033569336,25198,79
19853,73.81999969482422,22980,80
20228,74.54000091552734,23064,81
20604,74.47000122070312,23222,82
23017,77,26775,83
20795,77.8499984741211,24630,84
21428,78.95999908447266,24442,85
21827,79.43000030517578,24624,86
24302,82.13999938964844,28546,87
21846,82.31999969482422,25784,88
22375,83.01000213623047,25235,89
22433,83.62000274658203,25071,90
24956,85.66000366210938,28883,91
22825,85.58000183105469,26141,92
23515,85.76000213623047,25879,93
23551,86.06999969482422,25800,94
26037,87.94000244140625,29847,95
23987,88.31999969482422,27735,96
24635,88.27999877929688,27092,97
24578,87.79000091552734,27111,98
26920,89.76000213623047,31046,99
24530,90.37999725341797,28573,100
25430,89.9000015258789,28158,101
25693,89.29000091552734,28091,102
28000,90.9000015258789,32189,103
25237,90.79000091552734,29618,104
26448,89.31999969482422,29257,105
26379,88.55999755859375,29341,106
28579,89.87000274658203,33354,107
25820,90.33999633789062,30711,108
27431,89.91000366210938,30579,109
27458,89.19999694824219,30497,110
30093,90.66999816894531,34971,111
27324,91.20999908447266,32119,112
28316,91.01000213623047,31807,113
28623,90.44999694824219,31861,114
31106,92.25,36528,115
28944,93.61000061035156,33953,116
30092,93.77999877929688,33564,117
30035,93.16000366210938,33400,118
33024,94.98999786376953,38510,119
31177,95.88999938964844,37065,120
32323,95.62999725341797,36842,121
32644,95.91000366210938,36974,122
35927,98.0199966430664,42393,123
34341,98.72000122070312,40544,124
35665,98.94000244140625,40750,125
35686,100.18000030517578,40065,126
39002,101.98999786376953,45561,127
36690,103.2300033569336,42870,128
37655,103.69999694824219,42330,129
37866,103.68000030517578,42595,130
41633,105.13999938964844,48554,131
37777,107,44055,132
38928,107.08000183105469,43440,133
39543,107.01000213623047,43882,134
42701,108.75,49437,135
40042,110.27999877929688,46245,136
40358,110.01000213623047,44951,137
40954,109.98999786376953,45158,138
43777,111.66000366210938,50385,139
